source	default_branch	tree_status	file_count	tree_sha256
mupozg823/codelens-mcp-plugin	main	ok	1099	0ad727b98d8ed18be8a3a46715d64cfa875c7e515b3bab107e9ec3cf48dafcb8
isagawa-co/isagawa-kernel	main	ok	73	d9b82bfc7a225007b8143d4ef86692d791bb8b86e687e8e75982e86a2997e3a6
Milind220/agent-sdk-rs	main	ok	29	7fdc2214e73c27bc0a850e5489f295f68446363706f6fc3328805e87701cc9a1
harshalmore31/phoenix-os	main	ok	283	35fda55ad7b7931911f9f7fa289f6031bdc6c2428c27198e96f193fe382aac36
Parker617/whalefall	main	ok	91	9bc41703f60311db0f0a393c7fe166ee6f3c5b33f1d77e6f08c770770ea1a4e2
neurocis/a0_superordinates	main	ok	85	f7e0c3d54c7ad3164de23f4c2078577e3ddb9963186151cd13800f218fd98d33
yu-iskw/sqlfluff-complexity	main	ok	391	9e65680e99a3ea9c1de4b6371a4b071e1ac2e29c6fcbe29b5186640c3e0200b6
CaesiumY/harness-optimizer	main	ok	11	6ff14341ebc50bb41bc243dfed9328879fbd5dedf2952cb7b371d0f455ae362b
gzhzk/nanodeer	main	ok	189	68599e7a4b1dffc1d3d190903a66441a2b2e24a9bca2679f87e71d7c3eb17407
lyc-aon/successor-agent	master	ok	285	b0f04ac8d2a2b27f1216b353cdafc0b0e0f7a3f81a62ab61790cb7fc83cd84d3
jeanlag1/vibeharness	main	ok	40	185d5c805490bc30d1e2cdcac2d9ba264ec706a02e57fbf8dfc4bb62cd0d27cc
verkyyi/tokenman	main	ok	36	3a739a71738faa31d62f5a70a1c83076c411b3ece39dafedf03b326f4d5e9b7a
edwardZhang/sps-cli	main	ok	443	3ca44a60d0a9cc98ccaa3d6771166075a5c4aa2a2d5cfd2e42c328b41fde59f9
GeorgeWingg/Neural-Computer	main	ok	104	1b2fa996eea5bbdcbde859018189f10422562541bc4d61b30e844af2c63047d1
mindtheproduct/vennie	main	ok	203	edecbbda0dcf4ba936500495ec8e8db47d2c8d6b2b05c1cce6edaa678abfa3dd
ferterahadi/canary-lab	main	ok	654	f38f533d59c6ab2fd09b850ffd772ff80455e11fa72d651c892b5413a2ae1cdc
PatterAI/skills	main	ok	15	e0a818eaec66a664d0cd0024cc236feee5866844d8f7b3de56422986198924a9
yenanjing/awesome-harness-engineering	main	ok	5	4e0eb05f8fe6f2b20ac641aff48cadfba4bfbd309271c19b1747f27dd72f159d
onblueroses/strata	main	ok	275	3888e7ecdcf58a9c4968afed000f88a9358509ae4c917e2c1d82a83ac28186e2
Muulor/AgentVis	main	ok	1176	dd73d211a3ee487d25ef8a903dfc9caab7d35e7c6aa39c70a2f55d0c277b3d2e
mirasoth/soothe	main	ok	1901	cfa28ca6cbefc61ad264c641530b61f6d346362214b98081d051ec9cf0bafcac
wujfeng712-ui/claude-code-harness-notes	main	ok	86	56a7c07278b1fdfcff99f99805084092f9c98dc1cf5685e4db356df79376020b
zester4/eltes	main	ok	697	b5d19b73fd27f3b3bdf4b790f04c6d4fa95b0fa8d8e1f3ad3a5cb2b065fea293
hoiung/sst3-ai-harness	main	ok	271	af5af93a2bd377ee52e1a3517ea68cb7a64eeda0d45d3fe9dc0fe693aa5f0240
ar27111994/agent-harness	main	ok	354	412bc8b7fef1e3dbe7c477d21fe975c30cc6f0513e1675c24b66263718516b91
zyziyun/claude-code-mini	main	ok	46	c6a3f1e3087153f2f0a8a43b10ac0ea2ab3fbf70235e4b88d84219e7c7cc47cd
dineshdb/pie	main	ok	117	795bba213f691183d9662256a4f06c3ae86425c4ae55541f346cc35a2b601d82
JoaoEquer/Oficina	main	ok	23	50d138d84a4fa5efa811ff0b1a507d1b759f5e4d0e7bee39c6f8006a0d206782
lordaeternus/agent-execution-harness	main	ok	217	b2499dd6426d2e80690b9e20c23b5eacb400fe2ab19dff5cebf4ab53cc670110
BeamusWayne/trace-vault	main	ok	88	ebbd686fe7dfc18daa6e2a5130c294edaee8ad8e0909d40233d8213c3181b3b0
Thakurvaibhav/platform-agent-harness	main	ok	104	4fbe69e1e660a6bbc269db023318d61e704da42cdacc1332e084738e5ade64e2
ryanjames85/grom	main	ok	77	bb0db1267781421ebfd449fe118854b7c0ff525b58999f2f494ea450eb1334b5
aitrace-dev/granclaw	main	ok	254	e6ad99deb9f6ca8ce4ba2a20e7c8ab969f653a4e014c5eb786b995ccfb4d1fa9
NeuroverseOS/Neuroverseos-governance	main	ok	339	b848a922dc8e7d7ac5eda08e0deb4f955f17c3dfbfeb4f25ba48f474401cc126
ourostack/ouroboros	main	ok	1233	89d9b7e918acd7fc57259ebeee9e291d64551426f89b60ad788262cb7dda3a49
PatterAI/patter-mcp	main	ok	45	819aed4ab8a344baa4b97741d1fbf32b9429017c571c738f8effd6ceb9e3b9f9
dahrkai/dahrk-node	main	ok	87	32b5df8b870b07cfc5ef794b5ccabe6159188f3c88199c5a305a413414e82d39
samartomar/ai-harness	main	ok	541	446168dac6f9232b10cff86d0703ad93fb1e61da4cf5ca5eac609a9bd6e85ded
raeseoklee/codexus	main	ok	382	772afcdd3c4643133b34d8a12c0b28b3afcea26036daafb579192d494ba2e44e
MendCode/MendCode	main	ok	2956	b94802e32e5682694e3890a5cff231ce9fe2d3c1450c009c1494fa303b27fbf1
FutronPrime/verity-harness	main	ok	228	3e9b137f30d32f809e79d409d8edd0f17cf730b14fecb8d43774cda37bbda3d2
secondorderai/ouroboros	main	ok	625	832c4583674641578c087f6b98dc5a1c0b1080e8d17759715a50cb6366015f46
katipally/friday-code	main	ok	254	5d0530b39717e267d86b682cd9e0442650f5f5da8e1dba5005aa76b8bf4772e7
leezythu/agent-harness-compare	main	ok	14	feb224c27e3268c233b7eaf4aa951b38cde8ce618716dad63436c44f95ce4956
androidZzT/harness-engineering-practice	main	ok	32	9db2550be0d5a2572f4ca42d981418339f79af0cf8ec1fff38e5dfc0dfc939fb
migos1990/ai-eng-team-harness	main	ok	44	b2e6fd56c57e809d0281a552b1cd233d77bcee8630a959652cb5ef32fdc671b2
youxufkhan/my-opencode-config	master	ok	47	454f28da2120964461f20011724d047d2bf24a388a6f5d8e652f23bab3c76ed3
MRGRD56/pi-omp-skills-autocomplete	master	ok	7	1bd5b0b26087ef0c40ebec21739d8b584c8160e7238fe14c373d6153bfcb4eb9
NFJones/mezzanine	main	ok	453	0584b71d3f7c4643fafd5d3dbb334fd24f31cbdd262bd7ce09e4c934416d0c41
binary16labs/prime-silo	main	ok	2250	88d8144c5105a293a7e15c0e5967c498d8041915e6f90fec2ef092acb23b3ce5
herreravalenz6620/context-compression	main	ok	55	372642c6437e7040a61d39ef607ec21654c2f5d2f0fa254f661f2ae9abca728b
spoke-sh/paddles	main	ok	2603	af0ae791c73ed93f1f20b7c12ff3e4676af0e6300c3e63c2f2fb425c475758bd
uzysjung/uzys-agent-harness	main	ok	524	e606b896e0326de305709512a7ca01055b8802731de3dd784c9263774c3e7de2
qimen039-code/claim-boundary-harness	main	ok	163	4fea620f0cd1d59d6f733db3f6b4d221635cf75431b46bac6390d7ad6b311f50
hssh8917/cc-skills	main	ok	86	a4e7601205ada3beeb1c6095a140aff8a945e6509356306df1a3eb00ee1a740c
Picrew/LLM-Harness	main	ok	9	719cc750c256abca6f238f084e3e67845632287e099ab185d710a0a51af8b5da
frankxai/agentic-business-os	main	ok	77	4773fec8fd33092c09e433ca59bda706eff481ab59d5f6d3212c4ed6b3113a41
shimo4228/agent-attribution-practice	main	ok	69	864c615be61e4b6a475285db5fcde81be790373310f088ebae4d840cf62c66b6
imagent-lab/learn-openai-responses-api	main	ok	162	85d1528d881f87f46af0e9ca5b89a61bba367704ca418916cff180f97ed73193
benlongmao/Self-becoming	main	ok	385	719e6bc539323216661cfb78c7be7cdf66efae84d4d21a40a666cec8086d1b47
HaaaappyDay/what-is-harness	main	ok	37	9e6c069dab2d954919de146d02c0ae4c5b05139b49f84e264a0b81cf063a56d4
