source	default_branch	stars	license	readme_status	word_count	line_count	families	evidence_terms
ProblemFactory/vibespace	master	0	NOASSERTION	ok	2167	235	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	list|adapter|Docker|session|shared|loop|history|prompt|permission|browser|task|state|install|Check|project
Ruafieldphase/trinity-agi	main	0	NOASSERTION	ok	2658	472	runtime_capability_matrix,isolated_sandbox_runner,session_command_center,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	runtime|environment|status|scheduler|history|memory|credential|tool|spec|workflow|install|ci|project|timing|Harness engineering
XXY-CH/Agnet	main	0	NOASSERTION	ok	1460	261	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	list|runtime|sandbox|Status|Coordination|receipt|verifier|history|policy|MCP|task|state|package|ci|rules|fixture|QUERY
rohaquinlop/michin	main	0	MIT	ok	2523	469	agent_catalog_watch,runtime_capability_matrix,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	List|model|terminal|message|autonomous|token|prompt|guard|tool|spec|Install|ci|project
netsky-prod/harness-spectrum	main	0	MIT	ok	1879	299	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	curat|Claude|isolate|session|shared|loop|benchmark|cost|skill|security|tool|spec|state|Package|ci|project|rubric|curation
benlongmao/Self-becoming-zh	main	0	Apache-2.0	ok	377	258	runtime_capability_matrix,session_command_center,skill_memory_hygiene,tool_augmentation,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	Runtime|Status|Skill|search|install|ci|project
headcrabz/horizonX	master	0	NOASSERTION	ok	3197	517	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	taxonomy|Claude|Pod|Status|lock|loop|judge|observability|context|permission|API|plan|state|Install|check|Project|Eval
jiangyinzuo/agentic-software-engineering	main	0	NOASSERTION	ok	93	74	agent_catalog_watch,runtime_capability_matrix,mailbox_conflict_locks,verifier_council,observability_provenance,skill_memory_hygiene,tool_augmentation,extension_preset_bundle_registry,harness_taxonomy_curation	awesome|claude|thread|benchmark|token|Prompt|mcp|INSTALL|Harness Engineering
az9713/localforge-agent-harness-study	main	0	Apache-2.0	ok	1466	251	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	awesome|Claude|environment|board|lock|long-running|Evaluate|observability|context|permission|tool|spec|state|extension|ci|project|score|taxonomy
loveliiivelaugh/memoryme	main	0	NOASSERTION	ok	202	53	runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,observability_provenance,skill_memory_hygiene,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake	integration|Environment|dashboard|thread|event|Memory|API|spec|state|install|check
