lucinate	https://github.com/lucinate-ai/lucinate
m1nd	https://github.com/maxkle1nz/m1nd
machine	https://github.com/katspaugh/machine
MartinLoop	https://github.com/Keesan12/martin-loop
Mentat CLI	https://mentat.ai/docs/cli
mercury	https://github.com/Michaelliv/mercury
MetaClaw	https://github.com/aiming-lab/MetaClaw
Mini-Kode	https://github.com/minmaxflow/mini-kode
MiroShark	https://github.com/aaronjmars/MiroShark
Mistral Vibe	https://github.com/mistralai/mistral-vibe
Moltis	https://github.com/moltis-org/moltis
multi-agent-shogun	https://github.com/yohey-w/multi-agent-shogun
multi-agent-workflow-kit	https://github.com/laris-co/multi-agent-workflow-kit
multica	https://github.com/multica-ai/multica
mux	https://github.com/coder/mux
nanobot	https://github.com/HKUDS/nanobot
NanoClaw	https://github.com/gavrielc/nanoclaw
Nanocoder	https://github.com/Nano-Collective/nanocoder
NemoClaw	https://github.com/NVIDIA/NemoClaw
Neovate Code	https://github.com/neovateai/neovate-code
neuralyzer	https://github.com/gintasz/neuralyzer
Nex	https://github.com/nex-crm/nex-as-a-skill
Nimbalyst	https://github.com/nimbalyst/nimbalyst
nori-cli	https://github.com/tilework-tech/nori-cli
Not Human Search	https://github.com/unitedideas/nothumansearch
NotFair	https://github.com/nowork-studio/NotFair
ntm	https://github.com/Dicklesworthstone/ntm
NullClaw	https://github.com/nullclaw/nullclaw
Octomind	https://github.com/Muvon/octomind
octomux	https://github.com/ShreyPaharia/octomux
oh-my-kimi	https://github.com/dmae97/oh-my-kimi
OH-MY-PI	https://github.com/can1357/oh-my-pi
OMK	https://github.com/dmae97/open-multi-agent-kit
OneCLI	https://github.com/onecli/onecli
Onepilot	https://onepilotapp.com
Open Interpreter	https://github.com/OpenInterpreter/open-interpreter
open-claude-cowork	https://github.com/ComposioHQ/open-claude-cowork
open-codex	https://github.com/ymichael/open-codex
OpenCastle	https://github.com/monkilabs/opencastle
OpenClaw	https://github.com/openclaw/openclaw
OpenCode	https://github.com/anomalyco/opencode
OpenCode Mobile	https://github.com/dzianisv/opencode-mobile
openfang	https://github.com/RightNow-AI/openfang
opengoat	https://github.com/marian2js/opengoat
OpenHands	https://github.com/All-Hands-AI/OpenHands
openHarness	https://github.com/zhijiewong/openharness
openkanban	https://github.com/techdufus/openkanban
OpenWork	https://github.com/different-ai/openwork
orc	https://github.com/spencermarx/orc
Orca	https://github.com/stablyai/orca
ORCH	https://github.com/oxgeneral/ORCH
OSOP	https://github.com/Archie0125/osop-agent-rules
Ouijit	https://github.com/ouijit/ouijit
overloop-cli	https://github.com/sortlist/overloop-cli
paperclip	https://github.com/paperclipai/paperclip
Parallel Code	https://github.com/johannesjo/parallel-code
Parallel Code	https://github.com/nicobailon/parallel-code
parallel-code	https://github.com/johannesjo/parallel-code
PATAPIM	https://patapim.ai
PatchWarden	https://github.com/jiezeng2004-design/PatchWarden
Pi	https://github.com/badlogic/pi-mono
pi-boss	https://github.com/skyfallsin/pi-boss
pi-builder	https://github.com/arosstale/pi-builder
pi-mem	https://github.com/jo-inc/pi-mem
pi-reflect	https://github.com/jo-inc/pi-reflect
pi-room	https://github.com/skyfallsin/pi-room
piclaw	https://github.com/rcarmo/piclaw
PicoClaw	https://github.com/sipeed/picoclaw
picocode	https://github.com/jondot/picocode
Plandex	https://github.com/plandex-ai/plandex
postmortemthis	https://github.com/Softeria/postmortemthis
Praman	https://github.com/mrkanitkar/playwright-praman
Project Tiny Context Harness	https://github.com/Seven128/project-tiny-context-harness
Proliferate	https://github.com/proliferate-ai/proliferate
pulpo	https://github.com/darioblanco/pulpo
QQCode	https://github.com/qnguyen3/qqcode
Qwen Code	https://github.com/QwenLM/qwen-code
RA.Aid	https://github.com/ai-christianson/RA.Aid
Ralph Workflow	https://github.com/Ralph-Workflow/Ralph-Workflow
ralph-claude-code	https://github.com/frankbria/ralph-claude-code
ralph-harness	https://github.com/rxdt/py_ralph_frame
ralph-orchestrator	https://github.com/mikeyobrien/ralph-orchestrator
ralph-tui	https://github.com/subsy/ralph-tui
ralphy	https://github.com/michaelshimeles/ralphy
rein	https://github.com/SalzDevs/rein
Relay	https://github.com/jcast90/relay
Relay Baton	https://github.com/guorunjie/codex-relay-baton-guardian
Remote OpenClaw	https://github.com/aidevelopers2/remoteopenclaw-mcp
repomon	https://github.com/AliHamzaAzam/repomon
rho	https://github.com/mikeyobrien/rho
RoleCraft	https://github.com/sametcelikbicak/rolecraft
RondoFlow	https://github.com/rondoflow/rondoflow
Roo Code CLI	https://github.com/RooCodeInc/Roo-Code
rowboat	https://github.com/rowboatlabs/rowboat
sage	https://github.com/youwangd/SageCLI
San	https://github.com/genai-io/san
schliff	https://github.com/Zandereins/schliff
scion	https://github.com/GoogleCloudPlatform/scion
shire	https://github.com/victor36max/shire
signals-cli	https://github.com/sortlist/signals-cli
Skill Hub	https://github.com/rdone4425/skill
Skill Hub	https://skill.442595.xyz/
skill-optimizer	https://github.com/fastxyz/skill-optimizer
skillfold	https://github.com/byronxlg/skillfold
skillreaper	https://github.com/thousandflowers/skillreaper
Smelt	https://github.com/leonardcser/smelt
Smol Developer	https://github.com/smol-ai/developer
sortie	https://github.com/sortie-ai/sortie
stapler	https://github.com/googlarz/stapler
Stash	https://github.com/SectorOPS/Stash
subtask	https://github.com/zippoxer/subtask
supacode	https://github.com/supabitapp/supacode
SuperCompress	https://supercompress.vercel.app
Superset	https://github.com/superset-sh/superset
swarm-protocol	https://github.com/phuryn/swarm-protocol
SWE-agent	https://github.com/SWE-agent/SWE-agent
symphony	https://github.com/openai/symphony
t3code	https://github.com/pingdotgg/t3code
Tabnine CLI	https://docs.tabnine.com/main/getting-started/tabnine-cli
takopi	https://github.com/banteg/takopi
The Factory	https://github.com/akashgit/remote-factory
the-perfect-orchestrator	https://github.com/daman8271/the-perfect-orchestrator
thurbox	https://github.com/Thurbeen/thurbox
tmux-ide	https://github.com/wavyrai/tmux-ide
tmuxlet	https://github.com/CodefiLabs/tmuxlet
Toad	https://github.com/batrachianai/toad
toprank	https://github.com/nowork-studio/toprank
toryo	https://github.com/JesseRWeigel/toryo
Trae Agent	https://github.com/bytedance/trae-agent
traintrack	https://github.com/OKKHALIL3/traintrack
tutti	https://github.com/nutthouse/tutti
